run	gsr_y	ID
2	0.017554763704538345	1003
1	0.013715497218072414	1003
1	0.043976325541734695	1004
2	0.04425867646932602	1004
1	0.028738312423229218	1006
2	0.028530526906251907	1006
1	0.03090648539364338	1009
2	0.03144340589642525	1009
2	0.019921712577342987	1010
1	0.018928686156868935	1010
1	0.01989513821899891	1011
2	0.018590660765767097	1011
2	0.01359048206359148	1012
1	0.013408221304416656	1012
1	0.01542940828949213	1013
2	0.015659669414162636	1013
2	0.016740648075938225	1015
1	0.016535580158233643	1015
1	0.025799715891480446	1016
2	0.026096895337104797	1016
2	0.014701634645462036	1019
1	0.015415933914482594	1019
2	0.014742515981197357	1021
1	0.014945745468139648	1021
2	0.01770883984863758	1242
1	0.01013972982764244	1242
2	0.04131714254617691	1243
1	0.031299661844968796	1244
2	0.03081357851624489	1244
1	0.02023937739431858	1245
2	0.020702967420220375	1245
2	0.026083391159772873	1247
1	0.026272784918546677	1247
1	0.01936407759785652	1248
2	0.017942994832992554	1248
2	0.023071421310305595	1249
1	0.022848227992653847	1249
2	0.02408633753657341	1251
1	0.021043503656983376	1251
1	0.01775827258825302	1253
2	0.02002047188580036	1253
2	0.020685415714979172	1255
1	0.01902569830417633	1255
1	0.014241642318665981	1276
2	0.014672376215457916	1276
2	0.008655082434415817	1282
1	0.008325817063450813	1282
2	0.007123294752091169	1286
1	0.008958983235061169	1286
1	0.017000656574964523	1294
2	0.019485078752040863	1294
1	0.015630492940545082	1300
2	0.01621212251484394	1300
2	0.01832648180425167	1301
1	0.018252145498991013	1301
1	0.024770384654402733	1302
2	0.02566378191113472	1302
2	0.013840501196682453	1303
1	0.012946994975209236	1303
1	0.012106123380362988	3101
2	0.01268724724650383	3101
2	0.025562316179275513	3116
1	0.025483909994363785	3116
1	0.013954875990748405	3122
2	0.01393525954335928	3122
2	0.022750496864318848	3125
1	0.02237633801996708	3125
2	0.02326548844575882	3140
1	0.02175128273665905	3140
2	0.015945324674248695	3143
1	0.014932440593838692	3143
2	0.017165042459964752	3152
1	0.01564573496580124	3152
2	0.026092825457453728	3166
1	0.02565070241689682	3166
1	0.024183364585042	3167
2	0.023979686200618744	3167
1	0.010921972803771496	3170
2	0.011383743025362492	3170
1	0.022653920575976372	3173
2	0.02222571335732937	3173
2	0.015990514308214188	3176
1	0.014803233556449413	3176
2	0.015991413965821266	3189
1	0.0166151262819767	3189
1	0.0227001141756773	3190
2	0.022892456501722336	3190
2	0.021617094054818153	3199
1	0.021432189270853996	3199
1	0.027885135263204575	3200
2	0.028763383626937866	3200
2	0.023705042898654938	3206
1	0.023087363690137863	3206
1	0.012089532800018787	3210
2	0.009033923968672752	3210
2	0.011515411548316479	3212
1	0.010809429921209812	3212
2	0.06764394789934158	3218
1	0.06742124259471893	3218
1	0.029379863291978836	3220
2	0.029204513877630234	3220
1	0.028950674459338188	3223
2	0.02906733937561512	3223
