INPUT : doors-mid/left/doors-mid_output_dat_tstat_fwep_c1.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-mid/left/doors-mid_output_dat_tstat_fwep_c2.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-mid/right/doors-mid_output_dat_tstat_fwep_c1.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-mid/right/doors-mid_output_dat_tstat_fwep_c2.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-social/left/doors-social_output_dat_tstat_fwep_c1.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-social/left/doors-social_output_dat_tstat_fwep_c2.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
0.7978
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-social/right/doors-social_output_dat_tstat_fwep_c1.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-social/right/doors-social_output_dat_tstat_fwep_c2.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-sr/left/doors-sr_output_dat_tstat_fwep_c1.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-sr/left/doors-sr_output_dat_tstat_fwep_c2.csv
1.0000
1.0000
0.9198
0.9198
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
INPUT : doors-sr/right/doors-sr_output_dat_tstat_fwep_c1.csv
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
