,IV,V,VI,Crus I,Crus II,VIIb,VIIIa,VIIIb,IX,X,Vermis VI,Vermis VIIIa,Vermis VIIIb,Vermis IX
t stat,0.9078,1.1046,2.4247,2.9638,2.6893,2.1247,0.6326,1.0319,2.1204,-0.8006,2.3487,2.9819,2.8652,2.8915
fwep,0.6721,0.5681,0.0809,0.0255,0.0469,0.1437,0.7969,0.6062,0.1445,0.9992,0.0943,0.0248,0.0318,0.0302
