Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	561	2.88e-27	26.5	6.04	11.5	8.5	68.5	1.79	13.3	52.5	67.9	5.5	11.5	71.5	33.8
17	264	3.98e-16	15.4	6.54	-9.5	-69.5	8.5	-11.7	-71.8	12.3	64.1	-9.5	-69.5	8.5	31.6
16	234	8.29e-15	14.1	5.58	50.5	-36.5	-0.5	52.5	-38.1	11	69.8	47.5	-36.5	2.5	30.4
15	156	4.45e-11	10.4	5.68	-39.5	11.5	-3.5	-41.5	13.2	1.37	62.8	-42.5	20.5	-6.5	33.5
14	128	1.36e-09	8.87	5.61	44.5	14.5	-3.5	43.3	17.8	-5.15	68.6	47.5	20.5	-6.5	36.6
13	104	5.96e-08	7.22	4.72	-3.5	-12.5	-0.5	-4.34	-17.8	3.02	131	-0.5	-3.5	-3.5	37.7
12	94	1.19e-07	6.92	5.22	44.5	11.5	-39.5	45.4	10.6	-33.5	37.1	50.5	11.5	-27.5	25.2
11	82	7.15e-07	6.15	5	29.5	53.5	32.5	21.3	55.1	29.4	62.4	26.5	53.5	32.5	34.9
10	56	3.93e-05	4.41	4.9	-60.5	-54.5	32.5	-60.4	-47.7	30.5	49.4	-66.5	-45.5	26.5	27.5
9	53	6.5e-05	4.19	4.19	-48.5	14.5	-21.5	-49.4	5.37	-29.9	31.3	-54.5	5.5	-21.5	21.3
8	46	0.000219	3.66	4.64	5.5	-27.5	11.5	12.6	-17.2	10.1	58.3	2.5	-27.5	8.5	27.5
7	45	0.000262	3.58	5.02	-33.5	-54.5	-30.5	-38.3	-58.5	-29.9	45.1	-48.5	-63.5	-27.5	20.9
6	41	0.000541	3.27	4.31	-9.5	-57.5	-30.5	-3.3	-58.2	-31.3	32.7	-0.5	-63.5	-30.5	22.7
5	33	0.0025	2.6	4.97	14.5	-81.5	44.5	15.1	-78.9	41.9	54.7	11.5	-81.5	44.5	27
4	31	0.00373	2.43	5.19	26.5	-54.5	5.5	23	-60.1	6.36	50	20.5	-60.5	5.5	26.2
3	28	0.0069	2.16	5.06	-42.5	-6.5	-9.5	-41.4	-8.93	-7.78	65.1	-42.5	-6.5	-9.5	36
2	26	0.0105	1.98	4.52	29.5	20.5	8.5	34	14.9	11.1	38.5	32.5	17.5	11.5	26.4
1	23	0.0202	1.69	4.08	-48.5	20.5	8.5	-53	20.2	6.14	40.4	-48.5	20.5	5.5	28.5
