Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
28	1697	0	57.3	5.65	32.5	-75.5	47.5	33	-34.2	39.4	81	53.5	-27.5	56.5	28
27	1568	0	54.3	7.65	-18.5	8.5	-9.5	-14.6	-11.3	-6.26	138	-6.5	-9.5	-24.5	36.3
26	561	2.88e-27	26.5	5.04	-30.5	-30.5	65.5	-30.2	-57	49	64.6	-24.5	-69.5	62.5	24.6
25	357	6.27e-20	19.2	5.97	-15.5	35.5	41.5	-23.2	25.7	47.8	58	-27.5	20.5	59.5	27.5
24	341	2.66e-19	18.6	5.43	41.5	-75.5	-39.5	32.1	-75.1	-39.4	44.7	38.5	-78.5	-36.5	26.1
23	331	6.65e-19	18.2	5.44	53.5	-33.5	-12.5	54.8	-36.4	-14.3	45.9	62.5	-39.5	-9.5	23.9
22	254	1.08e-15	15	5.57	17.5	35.5	53.5	25	27.8	49.4	62.7	29.5	29.5	53.5	27.3
21	242	3.65e-15	14.4	6.31	-45.5	-72.5	-33.5	-36.6	-74.7	-41.5	48.8	-42.5	-78.5	-36.5	27.5
20	200	3.04e-13	12.5	4.52	-57.5	-9.5	41.5	-54.9	-10.9	33.2	60.7	-51.5	-9.5	26.5	26.1
19	185	1.59e-12	11.8	5.71	17.5	-102	5.5	21.9	-94	-3.59	52.9	11.5	-87.5	-18.5	29.1
18	147	1.3e-10	9.89	4.79	-24.5	-39.5	-12.5	-29.5	-43.6	-20.2	58.3	-15.5	-33.5	-18.5	27.7
17	143	2.11e-10	9.67	4.51	-39.5	50.5	-12.5	-38.6	46.2	-1.01	43.3	-48.5	44.5	-6.5	26.6
16	79	1.07e-06	5.97	4.93	32.5	-6.5	62.5	33.6	-11.4	60.4	49.6	29.5	-9.5	56.5	26
15	72	3.1e-06	5.51	5.02	-60.5	-15.5	5.5	-58.1	-18.1	4.58	41.2	-54.5	-21.5	5.5	25.6
14	49	0.000129	3.89	4.78	2.5	-6.5	29.5	-1.63	0.137	30.2	48.3	-0.5	-3.5	32.5	27.2
13	48	0.000154	3.81	5.5	-39.5	35.5	26.5	-44.4	33.4	28.5	46	-48.5	32.5	32.5	25.6
12	43	0.000375	3.43	4.52	-24.5	32.5	-15.5	-26.6	24.1	-20.5	58.6	-24.5	26.5	-18.5	36.1
11	43	0.000375	3.43	4.79	17.5	-9.5	-21.5	20.1	-16.8	-23.8	73.2	20.5	-24.5	-27.5	38.5
10	42	0.00045	3.35	4.59	-30.5	2.5	26.5	-28.7	2.76	28.7	26.6	-36.5	2.5	29.5	17.5
9	41	0.000541	3.27	4.5	11.5	-66.5	-57.5	19.5	-68.3	-55.9	46.7	11.5	-63.5	-57.5	27.5
8	36	0.00139	2.86	4.98	17.5	65.5	14.5	14.8	61.9	11.5	42.6	14.5	65.5	8.5	30.9
7	35	0.00169	2.77	4.69	-24.5	-36.5	-39.5	-27.8	-37.7	-38.8	62.5	-24.5	-33.5	-39.5	34.8
6	33	0.0025	2.6	4.2	20.5	-54.5	-51.5	24.9	-47.1	-49.4	42.2	32.5	-39.5	-54.5	28.2
5	30	0.00456	2.34	4.71	41.5	-69.5	-3.5	45.2	-76.1	-7.12	30.7	47.5	-81.5	-9.5	22.5
4	23	0.0202	1.69	4.55	-36.5	-6.5	8.5	-38.6	-6.08	9.62	34.8	-42.5	-3.5	8.5	24.2
3	20	0.0398	1.4	4.66	-6.5	-81.5	-30.5	-10.3	-86.7	-32.8	26.4	-3.5	-81.5	-30.5	19.9
2	20	0.0398	1.4	3.82	2.5	-72.5	-42.5	-1.84	-71.7	-44	46.7	-3.5	-69.5	-45.5	28.3
1	20	0.0398	1.4	3.9	-0.5	-51.5	-54.5	-0.768	-54.6	-51.5	67.6	-0.5	-51.5	-60.5	38.1
