Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
18	646	3.05e-30	29.5	5.7	49	22	40	49.1	23.9	35.2	1.01e+03	44	19	42	374
17	347	1.21e-19	18.9	6.01	15	24	32	15.2	25.3	32.4	596	15	24	33	305
16	170	7.91e-12	11.1	6.99	40	13	24	42.7	13	23.3	1.14e+03	40	12	23	499
15	90	2.38e-07	6.62	5.33	43	31	49	42.8	30.7	47.6	906	46	31	47	366
14	63	1.29e-05	4.89	5.84	18	16	22	20.3	16.7	21.7	803	18	16	22	344
13	51	9.52e-05	4.02	4.66	14	50	32	14.4	51.2	30.7	616	13	51	32	383
12	41	0.000572	3.24	4.63	36	17	42	35	17.5	42.2	750	36	17	42	375
11	40	0.000689	3.16	4.13	48	54	38	46.3	52.4	39.3	531	46	54	41	328
10	37	0.00122	2.91	4.98	26	18	43	25.7	17.3	42.9	804	27	18	44	447
9	35	0.0018	2.75	4.59	44	22	17	43.8	21.3	17.1	249	44	22	17	195
8	34	0.00219	2.66	5.82	41	37	49	40.1	38.3	48.6	390	41	37	51	202
7	32	0.00327	2.49	4.86	22	23	16	21.1	22.3	15.5	285	22	23	16	199
6	31	0.004	2.4	4.49	12	27	42	12.2	27.8	41	416	13	26	41	255
5	31	0.004	2.4	3.79	20	23	46	18.3	24.7	43.7	647	17	24	44	384
4	30	0.00491	2.31	4.62	34	36	47	34.2	35.8	45.6	383	34	36	47	256
3	30	0.00491	2.31	4	34	30	40	33.4	29.5	40.2	493	33	30	41	357
2	26	0.0114	1.94	4.21	30	14	30	30.5	13.7	31.9	336	30	13	34	245
1	24	0.0176	1.75	4.29	42	33	45	43.4	35.6	44.3	292	43	35	45	217
