Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	4735	0	116	14.1	19	22	21	33.1	19.9	28.4	865	47	28	46	183
9	229	1.2e-14	13.9	9.86	48	46	42	46.6	45.2	41.9	620	46	44	46	180
8	217	4.27e-14	13.4	10.2	15	45	41	17.2	45.1	40.6	331	15	45	41	146
7	203	1.94e-13	12.7	7.17	34	45	44	33	49.3	40.8	325	33	53	39	142
6	80	9.54e-07	6.02	6.49	48	56	28	46.8	56.8	29	285	49	57	31	159
5	70	4.23e-06	5.37	4.98	30	21	30	30.5	20.8	30.9	262	30	20	30	158
4	43	0.000395	3.4	5.16	25	46	44	24.6	46.5	44.3	145	25	46	44	88.4
3	32	0.00327	2.49	6.24	21	49	29	21.5	49.9	28.5	233	21	49	29	132
2	27	0.0092	2.04	5.6	38	33	25	38.6	33.9	24.8	216	37	33	24	114
1	22	0.0275	1.56	6.09	51	47	31	50.6	47.3	32	210	52	49	32	138
