Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
13	287	3.44e-17	16.5	5.63	36	17	42	46.9	21.8	38.5	934	36	17	42	395
12	164	1.59e-11	10.8	6.6	46	14	22	42.2	12.6	23.5	1.13e+03	40	12	23	491
11	67	6.79e-06	5.17	4.52	13	32	27	12.9	30.9	26.4	433	15	30	27	301
10	57	3.44e-05	4.46	5.39	15	24	32	15.6	24.5	32.6	550	15	24	33	324
9	53	6.75e-05	4.17	4.13	53	28	30	52.4	30.6	27.7	480	54	31	29	323
8	44	0.000329	3.48	5.53	18	16	22	20.8	16.3	21.1	771	18	16	22	383
7	43	0.000395	3.4	5.66	46	31	47	45.3	31	47.8	1.06e+03	46	31	47	510
6	41	0.000572	3.24	4.61	42	20	30	44.2	22.2	30.4	404	47	24	30	196
5	38	0.00101	3	5.55	14	51	32	14.4	51.1	30.8	786	14	51	32	425
4	30	0.00491	2.31	4.99	51	21	26	51.7	21.7	27	577	50	21	26	282
3	23	0.022	1.66	4.47	27	18	44	25.9	17.2	43.2	833	27	18	44	471
2	20	0.0435	1.36	4.19	35	50	47	35.7	49.4	46.1	396	36	50	46	263
1	20	0.0435	1.36	4.17	41	37	49	40.3	38.2	48.5	216	41	37	50	159
