Cluster Index	Z	x	y	z	
10	14.1	19	22	21
10	14.1	41	22	25
10	13.4	22	18	23
10	13.2	44	18	30
10	13.2	43	21	20
10	13.2	23	22	22
9	9.86	48	46	42
9	9.52	46	45	44
9	7.56	46	45	38
8	10.2	15	45	41
8	8.33	18	44	39
8	7.84	17	45	45
8	7.74	17	46	37
8	4.3	20	48	39
8	3.92	20	43	42
7	7.17	34	45	44
7	6.59	32	50	40
7	6.49	33	52	39
7	5.29	35	48	40
7	4.68	30	47	43
7	4.33	35	53	36
6	6.49	48	56	28
6	5.18	45	54	33
6	3.91	49	57	31
6	3.74	47	55	32
5	4.98	30	21	30
5	4.78	32	20	33
5	4.44	27	22	28
4	5.16	25	46	44
4	5.16	24	48	41
4	4.31	25	46	47
3	6.24	21	49	29
3	4.36	23	53	27
2	5.6	38	33	25
2	5.04	40	35	25
1	6.09	51	47	31
