Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm
1003,-0.081317113,-0.241317354,0.076623071,0.101682116,-0.042687156,-0.677631535,0.043047345,-0.108761599,-0.869682597,0.505141165,-1.016861049,-1.616148898,-0.741325471,-0.240534891,,-0.003152618,18.36507442,-0.099721153,,-0.174158809,-0.228040608,0.109936066,0.084229377,-0.091316256,-0.622879624,0.151923663,-0.088548159,-0.939870533,0.841579839,-0.999040564,-1.600982411,-0.963682577,-0.256658376,,-0.001506843,-0.001506843,-0.054260643
1004,0.1914562,-0.458005757,-0.29382423,-0.244610854,-0.049277581,-0.193864363,-0.286050589,0.095803607,-0.152499177,-0.473435663,-0.126494606,-0.889270399,-0.037731381,0.155289341,,-0.000833283,6.547279713,-0.068449463,,0.098614504,-0.444729011,-0.260511235,-0.262063593,-0.097906681,-0.139112452,-0.17717427,0.116017048,-0.222687114,-0.136996989,-0.10867412,-0.874103911,-0.260088486,0.139165857,,0.000812491,4.158194616,-0.022988953
1006,-0.510749184,0.215833572,-0.176231582,-0.298476489,0.191515258,0.187268266,0.021853807,-0.001535182,1.130956554,-0.744850135,0.461668198,-0.242788497,1.125885937,0.891581037,,-0.000191412,18.56260717,-0.12166548,,-0.603590879,0.229110318,-0.142918587,-0.315929229,0.142886158,0.242020177,0.130730125,0.018678259,1.060768618,-0.408411461,0.479488684,-0.227622009,0.903528832,0.875457553,,0.001454363,16.17352207,-0.076204969
1009,-0.016872901,-0.603317556,-0.349290749,0.273481878,0.244319452,-0.008947902,-0.427210265,-0.330948835,0.89940025,-1.99665154,-0.092345469,0.440446466,0.927490248,0.641294213,,-0.002000492,-3.481841686,-0.030487195,,-0.109714597,-0.59004081,-0.315977754,0.256029138,0.195690352,0.045804009,-0.318333947,-0.310735394,0.829212314,-1.660212866,-0.074524983,0.455612953,0.705133143,0.625170729,,-0.000354717,-5.870926783,0.014973315
1010,-0.029223092,-0.393694251,-0.084321201,0.66739463,0.509490687,0.292662764,0.36878446,0.41604981,0.031454074,-0.215907191,-0.492217419,0.566339804,-0.045742701,-0.092493783,,-6.08287E-05,15.44837606,-0.192735341,,-0.122064788,-0.380417505,-0.051008206,0.649941891,0.460861587,0.347414675,0.477660778,0.436263251,-0.038733862,0.120531483,-0.474396933,0.581506291,-0.268099806,-0.108617267,,0.001584946,13.05929096,-0.14727483
1011,-1.025149094,-0.997257396,-0.662513787,-0.14542962,-0.310535981,-0.754091267,-0.196089889,-0.301022377,-1.195500035,-1.721224577,-1.332865729,-2.343807352,-2.504579634,-2.150338869,,-0.002808885,17.03391683,-0.142475198,,-1.11799079,-0.98398065,-0.629200792,-0.16288236,-0.359165081,-0.699339356,-0.087213571,-0.280808937,-1.265687971,-1.384785903,-1.315045243,-2.328640865,-2.726936739,-2.166462354,,-0.00116311,14.64483173,-0.097014687
1012,-0.256620809,-0.31070699,0.153480707,0.543856968,0.619118845,0.153534429,-0.31018255,0.09233679,-0.04069025,-0.683319102,0.366393046,-1.611348753,-0.511709479,-1.528248905,,-0.001281766,-12.79093516,-0.030732168,,-0.349462505,-0.297430244,0.186793702,0.526404229,0.570489745,0.20828634,-0.201306232,0.11255023,-0.110878186,-0.346880428,0.384213532,-1.596182265,-0.734066584,-1.544372389,,0.000364009,-15.18002026,0.014728342
1013,0.387477362,0.928573837,0.35457379,-0.117909466,0.124475697,0.882233037,1.290887971,0.791194011,0.106189471,0.761060604,1.476765582,1.080099485,0.988862303,1.178710971,,-0.000629159,-9.090709331,-0.03889918,,0.294635666,0.941850583,0.387886785,-0.135362205,0.075846597,0.936984948,1.399764289,0.811407452,0.036001535,1.097499278,1.494586068,1.095265972,0.766505198,1.162587487,,0.001016615,-11.47979443,0.006561331
1015,1.406430636,1.784441785,0.942475388,1.084302793,0.626813313,1.105484119,0.697584688,0.933162968,0.70847945,0.412900814,0.100332838,0.576209134,0.431552437,2.01504745,,-0.001426952,8.598255513,-0.034263521,,1.31358894,1.797718531,0.975788383,1.066850053,0.578184213,1.16023603,0.806461006,0.953376408,0.638291514,0.749339488,0.118153324,0.591375622,0.209195332,1.998923966,,0.000218823,6.209170416,0.011196989
1016,0.127637127,-0.376398111,-0.023863291,0.137962762,0.716495418,0.259418516,-0.451782712,-0.057538138,0.018573274,-1.770327081,-0.25583438,-0.625589924,-1.022073725,-1.645714717,,-0.000470327,11.25233114,-0.066074893,,0.034795431,-0.363121365,0.009449704,0.120510023,0.667866318,0.314170428,-0.342906394,-0.037324697,-0.051614662,-1.433888407,-0.238013894,-0.610423436,-1.24443083,-1.661838201,,0.001175447,8.863246038,-0.020614383
