Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,,,gsr_dm,tsnr_dm,fd_mean_dm
1003,0.574469294,0.527775993,1.27346506,0.912289564,0.956837371,0.743825503,0.416962132,-0.052176263,1.137686607,0.36576413,2.391495802,1.467138799,1.155459343,2.774333453,,0.000305784,8.039529838,0.043889632,,,-0.365091709,-0.71462263,-0.082020349,-0.099325392,0.571847915,-0.064213735,-0.226223246,-0.262726186,0.484825738,-0.602847501,1.670156908,0.454542578,1.357944805,1.276289743,,-0.000308357,9.279919557,0.037101483,,,,,,
1004,-0.940285582,-1.574660354,-2.701616162,-1.959717162,-1.421004556,-1.202476111,-1.705777803,-1.158688516,-0.246986082,-0.611966116,-1.598049805,0.20768877,0.033548031,-0.941948788,,-0.00067723,-0.653533898,0.044723543,,,-1.879846585,-2.817058977,-4.057101571,-2.971332117,-1.805994012,-2.010515348,-2.348963182,-1.369238439,-0.899846951,-1.580577746,-2.3193887,-0.804907452,0.236033493,-2.439992498,,-0.001291371,0.586855821,0.037935395,,,,,,
1006,0.851781341,0.311696289,0.490568898,0.833459785,0.466422569,0.140525128,0.063064913,0.355018578,0.534784504,0.709149497,0.935192526,0.14200608,-0.093677827,0.852202478,,0.000570997,-41.37743755,0.134976992,,,-0.087779662,-0.930702334,-0.864916512,-0.178155171,0.081433113,-0.667514109,-0.580120466,0.144468656,-0.118076366,-0.259462134,0.213853631,-0.870590142,0.108807636,-0.645841232,,-4.31436E-05,-40.13704784,0.128188843,,,,,,
1009,-0.672910891,0.074918442,0.231575358,-0.976512608,-1.158407254,-0.578371849,0.220311922,-0.636506158,-1.149887325,-0.035335852,-0.480422852,-0.595528748,-1.910413058,-0.67509735,,0.003670983,-10.22368618,0.044064819,,,-1.612471893,-1.167480181,-1.123910051,-1.988127564,-1.54339671,-1.386411086,-0.422873457,-0.84705608,-1.802748195,-1.003947483,-1.201761747,-1.608124969,-1.707927596,-2.17314106,,0.003056843,-8.983296462,0.03727667,,,,,,
1010,-0.237005439,0.430103154,0.323139188,-0.329639177,0.017418064,0.573560453,0.824504269,0.952536448,-0.39288647,1.399665416,0.287909563,-0.176217536,0.124484332,0.769128309,,-0.005623237,-26.97749325,0.30025522,,,-1.176566441,-0.812295469,-1.032346221,-1.341254133,-0.367571392,-0.234478784,0.181318891,0.741986526,-1.045747339,0.431053785,-0.433429331,-1.188813757,0.326969794,-0.728915401,,-0.006237377,-25.73710353,0.293467071,,,,,,
1011,1.235147085,1.286462338,0.968449013,-0.672568682,-0.213751057,0.747672221,1.36693938,1.166943037,0.781540281,1.526080494,0.032165437,1.259724322,2.731717961,1.693511091,,0.002716368,-1.356529198,0.079305298,,,0.295586082,0.044063716,-0.387036397,-1.684183637,-0.598740513,-0.060367016,0.723754001,0.956393114,0.128679412,0.557468864,-0.689173457,0.2471281,2.934203423,0.195467382,,0.002102227,-0.11613948,0.072517149,,,,,,
1012,0.221875354,0.452498447,-0.436472974,0.424425529,0.242398271,-0.538357319,0.483677892,-0.382511752,-0.030686074,0.276310819,-1.065236868,1.684921867,-0.500943622,0.982568318,,0.001471735,-6.950424156,0.020647666,,,-0.717685648,-0.789900176,-1.791958384,-0.587189427,-0.142591185,-1.346396556,-0.159507486,-0.593061675,-0.683546943,-0.692300811,-1.786575763,0.672325645,-0.29845816,-0.515475392,,0.000857594,-5.710034438,0.013859518,,,,,,
1013,0.404745905,-0.089473882,-0.712242903,0.34705993,-0.014288745,-0.614454313,-0.223805843,0.058984384,-0.16861283,-0.599170958,-0.0361988,0.395182326,-0.328785468,-0.747352233,,0.00078611,1.939956703,0.037314377,,,-0.534815097,-1.331872504,-2.067728313,-0.664555026,-0.399278202,-1.422493551,-0.866991222,-0.151565538,-0.821473699,-1.567782588,-0.757537695,-0.617413896,-0.126300006,-2.245395943,,0.000171969,3.180346421,0.030526228,,,,,,
1015,-0.847910769,-0.892305247,0.197808166,-0.052000607,0.125684492,0.613698458,1.030902832,0.815132772,-0.011078796,0.63744609,0.65156705,0.916946807,0.876963279,-1.478194371,,0.000894111,-6.679626427,0.012356114,,,-1.787471772,-2.134703869,-1.157677244,-1.063615563,-0.259304965,-0.194340779,0.387717454,0.60458285,-0.663939666,-0.33116554,-0.069771844,-0.095649415,1.079448741,-2.976238081,,0.00027997,-5.439236709,0.005567966,,,,,,
1016,0.443344811,1.178347945,1.004130341,0.084364311,-0.667061971,-0.275733485,0.106980682,0.6463272,1.10058928,0.756889959,0.442407931,1.108098196,1.144539268,1.354078417,,-0.002780237,0.721702614,0.049594722,,,-0.496216191,-0.064050677,-0.351355068,-0.927250645,-1.052051427,-1.083772722,-0.536204697,0.435777278,0.447728411,-0.211721671,-0.278930963,0.095501975,1.34702473,-0.143965293,,-0.003394377,1.962092332,0.042806574,,,,,,
1019,1.202605173,1.508683502,1.453518969,0.628119974,0.23665288,1.098172182,1.345931519,0.830007857,0.223640662,0.231307875,0.132821315,-0.06562154,-0.257562485,0.421059114,,0.000541924,-19.09125324,0.059028941,,,0.263044171,0.26628488,0.09803356,-0.383494982,-0.148336576,0.290132945,0.70274614,0.619457935,-0.429220207,-0.737303755,-0.588517579,-1.078217762,-0.055077022,-1.076984595,,-7.22167E-05,-17.85086352,0.052240792,,,,,,
1021,-0.908313807,-0.845815686,-0.705274238,0.533170817,0.25690378,-0.365931966,-0.351895661,0.07592797,0.379712489,-0.284294423,-0.879617799,-0.044392255,0.923758463,0.524226572,,0.000177342,-8.313049278,0.050583465,,,-1.84787481,-2.088214308,-2.060759647,-0.478444138,-0.128085676,-1.173971203,-0.99508104,-0.134621953,-0.273148381,-1.252906054,-1.600956694,-1.056988477,1.126243926,-0.973817138,,-0.000436799,-7.07265956,0.043795316,,,,,,
1242,-0.422474066,-0.187909649,-0.343206988,-0.826608621,0.137394772,0.144160868,0.662807147,1.046398751,-0.16608406,-0.527114796,-0.399520151,-0.07347107,-0.899589229,0.0680909,,0.000126198,13.80296329,0.033141377,,,-1.362035069,-1.430308271,-1.698692398,-1.838223576,-0.247594684,-0.663878369,0.019621768,0.835848829,-0.818944929,-1.495726426,-1.120859045,-1.086067291,-0.697103766,-1.429952809,,-0.000487943,15.04335301,0.026353229,,,,,,
1243,-0.119867736,0.375465826,0.328949186,-0.106024031,-0.415232064,0.265626293,0.654587832,-0.128176967,0.037839653,0.644420928,0.437778201,0.354718061,0.947583982,1.072933782,,0.031549809,-3.85567852,0.081151285,,,-1.059428739,-0.866932797,-1.026536223,-1.117638987,-0.80022152,-0.542412945,0.011402454,-0.33872689,-0.615021217,-0.324190702,-0.283560693,-0.657878161,1.150069445,-0.425109927,,0.030935668,-2.615288802,0.074363137,,,,,,
1244,0.164684503,0.39887336,0.501128951,-0.625504521,-0.397810815,0.53322568,1.164903075,-0.010248829,-0.429225921,-0.315648679,-0.306537018,0.645824264,-0.690560095,-0.280656381,,0.001878017,-2.391585153,0.062569948,,,-0.7748765,-0.843525263,-0.854356459,-1.637119476,-0.782800272,-0.274813557,0.521717697,-0.220798751,-1.082086791,-1.284260309,-1.027875913,-0.366771958,-0.488074633,-1.778700091,,0.001263876,-1.151195434,0.055781799,,,,,,
