Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm
1001,-0.681922203,-1.132582752,-0.860350645,-0.174735406,-0.27226465,-1.198176116,-1.355561254,-1.350143395,-0.434992596,0.061116927,0.158913118,-1.847885422,-0.979468699,-0.869797383,,0.001491244,-12.07890924,0.041594431,,,-0.81889399,-0.916774975,-0.135039888,-0.158871295,0.204770447,-1.386555048,-2.14998754,-2.09975249,-1.228455569,-0.503805773,0.959727825,-2.06031124,-1.282770786,-1.006426097,,0.001527509,-11.640468,0.035349317
1003,-0.297376708,-0.801545593,-0.647735238,-0.385081125,-0.768670023,-0.815069722,-0.215973023,-0.451955892,-1.559689478,-0.635176321,-1.200023199,-1.413591273,-1.74212359,0.175964989,,-0.002147533,-3.492402643,0.009085939,,,-0.434348495,-0.585737816,0.077575519,-0.369217014,-0.291634925,-1.003448655,-1.010399309,-1.201564988,-2.35315245,-1.200099021,-0.399208492,-1.626017091,-2.045425676,0.039336275,,-0.002111268,-3.053961399,0.002840825
1004,-0.3891862,-0.39774531,-0.441165614,-0.096170943,0.771434622,0.748924122,0.188797839,-0.094495389,-0.071859839,0.417624324,-0.239155334,0.204023882,0.849731782,1.020788099,,0.000606357,0.639508561,-0.040506109,,,-0.526157987,-0.181937533,0.284145143,-0.080306832,1.24846972,0.560545189,-0.605628446,-0.844104484,-0.865322811,-0.147298375,0.561659373,-0.008401936,0.546429695,0.884159385,,0.000642622,1.077949805,-0.046751222
1006,-0.560772508,-0.269838039,-0.441453175,0.171163078,0.62021404,0.380857783,0.271587248,0.410912374,2.092029618,0.450475991,0.873564559,-0.305765545,0.643833544,1.191015359,,0.000903741,-26.45997111,-0.019348992,,,-0.697744294,-0.054030262,0.283857582,0.187027189,1.097249137,0.192478851,-0.522839037,-0.338696722,1.298566645,-0.114446709,1.674379266,-0.518191363,0.340531457,1.054386645,,0.000940006,-26.02152987,-0.025594106
1009,-0.15320609,-0.31655332,-0.343424933,-0.332420609,-0.310119206,-0.103411999,-0.527122672,-0.250213674,0.413714853,-1.534225908,-0.478391241,-0.681973109,-0.360856062,-0.166593436,,0.004064351,-12.71059672,-0.027255192,,,-0.290177877,-0.100745542,0.381885824,-0.316556498,0.166915892,-0.291790932,-1.321548958,-0.999822769,-0.379748119,-2.099148607,0.322423466,-0.894398927,-0.664158148,-0.30322215,,0.004100616,-12.27215548,-0.033500305
1010,-0.854140031,-0.964185218,-0.678368742,0.520538074,0.539491555,0.388554536,0.736191652,0.933815974,-0.51993131,0.375988712,-0.666695923,-0.495485394,-0.447499526,-0.625373559,,-0.004500398,-18.94471614,0.119636322,,,-0.991111818,-0.74837744,0.046942015,0.536402185,1.016526653,0.200175603,-0.058234634,0.184206878,-1.313394282,-0.188933988,0.134118783,-0.707911212,-0.750801613,-0.762002273,,-0.004464133,-18.5062749,0.113391208
1011,-0.707108893,-0.830044296,-0.385585738,-0.896447099,-0.777429137,-0.729911233,0.455027994,-0.366346094,-1.255593972,-0.245610873,-1.287020886,-2.099438762,-1.591362775,-0.310608095,,0.000570107,-7.389261886,-0.016523188,,,-0.84408068,-0.614236518,0.339725019,-0.880582988,-0.300394039,-0.918290165,-0.339398291,-1.11595519,-2.049056944,-0.810533573,-0.486206179,-2.31186458,-1.894664862,-0.447236808,,0.000606372,-6.950820641,-0.022768302
1012,1.040974435,0.803508663,1.714458737,2.409622455,2.512313868,1.015504111,0.462200718,0.038272244,0.992914967,0.909139113,-0.699323283,0.173530176,0.221122906,0.743105071,,-0.000568673,-22.2156512,-0.002119445,,,0.904002648,1.019316441,2.439769494,2.425486566,2.989348965,0.827125179,-0.332225568,-0.711336852,0.199451995,0.344216413,0.101491424,-0.038895642,-0.082179181,0.606476357,,-0.000532408,-21.77720995,-0.008364559
1013,0.534508558,0.849114335,1.283343785,0.911210562,1.11475308,1.527186967,1.431556307,0.448886419,0.572348174,2.091660396,1.80650683,1.424971849,0.690899953,0.396500531,,-0.000336414,-9.044558211,-0.025030164,,,0.397536772,1.064922113,2.008654542,0.927074673,1.591788178,1.338808034,0.637130022,-0.300722677,-0.221114799,1.526737696,2.607321537,1.212546031,0.387597866,0.259871817,,-0.000300149,-8.606116967,-0.031275278
1015,0.954624813,1.321469259,1.329778116,1.297658546,0.825812408,0.729836327,0.935430519,0.385490923,0.290348812,0.483294882,0.937885025,0.925922322,0.54816788,1.866559726,,-0.00265642,4.380372361,-0.05212505,,,0.817653026,1.537277037,2.055088873,1.313522658,1.302847506,0.541457395,0.141004234,-0.364118173,-0.50311416,-0.081627818,1.738699732,0.713496504,0.244865793,1.729931012,,-0.002620155,4.818813605,-0.058370164
