Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,,,gsr_dm,tsnr_dm,fd_mean_dm
1003,-0.038098521,0.017501517,0.07666287,0.047262025,0.686640882,0.055389229,0.362939737,0.3490018,-0.53838336,-0.049459663,-1.157493399,-0.531886049,-0.040839865,-0.542992216,,-0.002522272,2.032408505,0.011072969,,,0.222307907,0.623096913,1.040711697,0.868945483,1.076180768,0.42794126,0.395864837,0.154163727,-0.112381881,0.703754488,-0.735686908,-0.098379389,-0.407104835,0.013672899,,-0.001918922,-0.942992428,0.03800746,,,,,,
1004,0.567829274,-0.089905349,0.154097799,0.135633251,0.092780586,-0.484099448,-0.436179649,-0.025417566,-0.016597619,0.02412223,0.28971559,-0.2289228,-0.158944393,0.326045514,,0.001044586,-11.7825745,-0.034764308,,,0.828235702,0.515690047,1.118146626,0.957316709,0.482320472,-0.111547417,-0.403254549,-0.220255639,0.40940386,0.777336381,0.711522081,0.20458386,-0.525209362,0.882710629,,0.001647936,-14.75797543,-0.007829817,,,,,,
1006,-0.769227099,-0.608847702,-0.719772077,-0.49662023,-0.392361406,-0.690172484,-1.1038431,-0.682587975,-0.452898657,-1.18017364,-1.55950881,0.121081566,0.984318142,0.372131489,,0.000123721,44.27263943,-0.134071715,,,-0.50882067,-0.003252305,0.24427675,0.325063229,-0.00282152,-0.317620453,-1.070918,-0.877426049,-0.026897178,-0.426959488,-1.137702319,0.554588226,0.618053172,0.928796604,,0.00072707,41.2972385,-0.107137225,,,,,,
1009,0.84352124,0.131753379,0.237797808,1.162819821,0.820053902,0.140711084,-0.42808585,-0.257077488,1.339565392,-0.773653917,0.666538789,1.115916365,1.315951043,1.708011646,,-0.002603886,-7.328511084,-0.010496049,,,1.103927669,0.737348776,1.201846635,1.984503279,1.209593788,0.513263115,-0.39516075,-0.451915561,1.765566871,-0.020439765,1.08834528,1.549423025,0.949686073,2.264676761,,-0.002000536,-10.30391202,0.016438441,,,,,,
1010,-0.528957977,-0.614809138,-0.512204169,0.241302025,-0.239356064,-0.721553303,-0.599803993,-0.711576196,0.049400614,-0.743357654,-0.010912874,0.057319352,-0.032854609,-0.698105055,,0.001690694,12.40264813,-0.191402881,,,-0.268551548,-0.009213742,0.451844658,1.062985484,0.150183822,-0.349001272,-0.566878893,-0.90641427,0.475402093,0.009856497,0.410893617,0.490826012,-0.399119578,-0.14143994,,0.002294043,9.427247193,-0.16446839,,,,,,
1011,-0.904065733,-1.009616554,-1.074640994,0.177254211,-0.217985739,-1.563484292,-1.223671774,-0.770314156,-1.071556672,-3.112739409,-1.132368509,-0.875196505,-1.579995646,-2.354834236,,-0.000931345,2.235221063,0.005172547,,,-0.643659304,-0.404021157,-0.110592167,0.99893767,0.171554147,-1.190932261,-1.190746674,-0.965152229,-0.645555194,-2.359525258,-0.710562018,-0.441689845,-1.946260616,-1.79816912,,-0.000327996,-0.74017987,0.032107037,,,,,,
1012,0.217452949,-0.190062574,0.841078406,0.332992367,0.460927938,0.522958297,-0.488128677,-0.413755161,0.38911277,0.484417646,1.149946672,-0.549634215,0.904987774,0.316629463,,-0.001651146,3.782935296,-0.025259313,,,0.477859378,0.415532823,1.805127234,1.154675825,0.850467824,0.895510328,-0.455203577,-0.608593234,0.815114249,1.237631798,1.571753163,-0.116127555,0.538722804,0.873294578,,-0.001047797,0.807534363,0.001675177,,,,,,
1013,-0.138527885,0.01889579,0.137164479,-0.335028396,-0.18725821,0.507100921,-0.12821889,-0.120885214,0.042927512,0.339355843,0.643373359,-0.202084184,0.118978126,1.61304284,,-0.000473108,2.162917291,-0.043973902,,,0.121878544,0.624491186,1.101213306,0.486655062,0.202281676,0.879652952,-0.09529379,-0.315723287,0.468928991,1.092569995,1.065179849,0.231422476,-0.247286843,2.169707955,,0.000130242,-0.812483642,-0.017039411,,,,,,
1015,0.445308501,0.88083967,0.459700118,0.185623526,0.749881102,0.322234541,-0.65588583,-0.431316609,0.790760257,-0.551864301,0.179946782,0.260886881,0.370083413,1.504123697,,-0.000802663,5.715987359,-0.027734475,,,0.70571493,1.486435066,1.423748945,1.007306984,1.139420988,0.694786572,-0.62296073,-0.626154683,1.216761736,0.20134985,0.601753273,0.694393541,0.003818444,2.060788812,,-0.000199314,2.740586426,-0.000799985,,,,,,
1016,-0.106014949,-0.853322971,-0.515457366,0.305797113,0.810473922,0.253903738,-0.290714923,-0.013903617,-0.133890898,0.023738321,-0.850810329,-0.525799357,-1.06279856,-1.226105167,,6.08889E-05,16.68353192,-0.053728514,,,0.154391479,-0.247727575,0.448591461,1.127480571,1.200013808,0.626455769,-0.257789823,-0.20874169,0.292110581,0.776952473,-0.429003838,-0.092292698,-1.42906353,-0.669440051,,0.000664238,13.70813098,-0.026794023,,,,,,
