Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm
1001,0.04813287,0.323079767,0.440069343,0.510087796,-0.132514758,-0.226846031,-0.306193221,0.130770983,0.274715009,0.074257593,0.090290108,0.228485193,-0.140044191,-0.479390266,,0.00040149,12.6660946,-0.025705433,,,-0.156295232,0.401982308,-0.074946147,-0.318516937,-0.851384106,-0.682827743,-0.325062744,-0.566665685,-0.135684028,-0.327965903,-0.22269443,-0.183255287,-0.001816991,-0.796495699,,0.000446939,12.27822251,-0.025529865
1003,-0.601633568,-0.031133768,0.311930361,-0.367585077,-1.212722157,-0.038862556,-0.498104559,-0.978263785,0.831089304,-0.570459061,-0.190932705,-0.314990767,0.008207716,0.090660256,,-0.000630346,16.33266591,-0.110794122,,,-0.80606167,0.047768773,-0.203085129,-1.196189809,-1.931591504,-0.494844268,-0.516974082,-1.675700453,0.420690267,-0.972682557,-0.503917243,-0.726731246,0.146434916,-0.226445177,,-0.000584897,15.94479382,-0.110618554
1004,-0.579655865,-0.17506793,-0.330883238,-0.109555129,-0.090437716,-0.014022522,0.330930122,-0.091889143,0.527031262,-1.139988189,-0.612414265,-0.686933233,0.537698786,-0.101112737,,-0.00187787,18.32985421,-0.033685156,,,-0.784083967,-0.096165389,-0.845898728,-0.938159861,-0.809307063,-0.470004235,0.312060599,-0.789325811,0.116632225,-1.542211685,-0.925398804,-1.098673712,0.675925986,-0.41821817,,-0.00183242,17.94198212,-0.033509588
1006,0.502473597,0.746075087,0.327967089,0.567247934,0.58228886,0.687049291,1.2878426,1.986126453,-0.018324923,1.546860575,0.552994163,0.441212142,0.534458405,-0.572335643,,-0.000315133,-25.71003226,0.012406236,,,0.298045494,0.824977628,-0.187048401,-0.261356798,-0.136580488,0.231067578,1.268973077,1.288689786,-0.428723961,1.144637079,0.240009625,0.029471663,0.672685605,-0.889441076,,-0.000269683,-26.09790435,0.012581804
1009,-0.874761052,-0.756633638,-0.71732036,-0.869419267,-0.284788246,-0.310707781,-0.077403621,0.365819247,-1.59468144,-0.262942211,-0.986542813,-0.785257899,-0.095669167,-0.312273535,,0.000603393,3.846669399,-0.019991146,,,-1.079189154,-0.677731097,-1.232335849,-1.698024,-1.003657593,-0.766689493,-0.096273144,-0.331617421,-2.005080477,-0.665165707,-1.299527351,-1.196998379,0.042558033,-0.629378969,,0.000648843,3.458797309,-0.019815578
1010,0.249206694,0.481281016,0.927041342,0.482337862,0.70002491,1.440503327,0.812237016,0.075353664,0.436466444,0.025780238,0.518626556,0.117195737,0.071913714,-0.273657775,,-0.001751523,3.045727931,-0.00133246,,,0.044778592,0.560183557,0.412025852,-0.34626687,-0.018844437,0.984521615,0.793367493,-0.622083004,0.026067407,-0.376443257,0.205642018,-0.294544742,0.210140913,-0.590763208,,-0.001706073,2.657855842,-0.001156892
1011,-0.235689156,0.310134133,0.072819242,-0.441617266,0.390197922,1.599383077,0.669231688,-0.312254871,0.079129503,0.774497317,-1.054736214,-0.964036141,-0.152368748,0.459203275,,-0.00187754,14.79869577,-0.147647744,,,-0.440117258,0.389036674,-0.442196248,-1.270221999,-0.328671426,1.143401364,0.650362165,-1.009691539,-0.331269534,0.372273822,-1.367720752,-1.375776621,-0.014141548,0.142097841,,-0.001832091,14.41082368,-0.147472176
1012,-0.60957423,-0.189335352,-0.198811708,0.552602218,-0.628209517,-0.585572951,0.225254581,0.936743786,-2.302282011,0.603022205,-1.992743849,-0.128757873,-2.549830718,0.038539465,,0.00036938,-16.57387046,-0.005472855,,,-0.814002332,-0.11043281,-0.713827198,-0.276002514,-1.347078864,-1.041554663,0.206385058,0.239307118,-2.712681048,0.20079871,-2.305728387,-0.540498352,-2.411603518,-0.278565969,,0.000414829,-16.96174255,-0.005297287
1013,0.492774461,0.697618301,0.482294944,0.365009636,0.515452722,0.443179635,0.80100415,0.782719107,0.623959822,0.63754975,0.668731265,0.948012525,0.914923703,-0.974876704,,-0.000156052,-11.25362662,0.005074722,,,0.288346359,0.776520842,-0.032720546,-0.463595096,-0.203416626,-0.012802078,0.782134627,0.085282439,0.213560785,0.235326254,0.355746727,0.536272045,1.053150902,-1.291982137,,-0.000110602,-11.64149871,0.00525029
1015,1.354849667,0.181593571,0.739100505,0.801303116,0.060119005,0.670904701,1.248610376,1.056413981,-0.284767204,0.789312692,0.474691215,-0.073865146,0.471134027,-0.135626574,,-0.000624289,2.882268153,-0.006529046,,,1.150421565,0.260496112,0.224085015,-0.027301617,-0.658750343,0.214922988,1.229740853,0.358977313,-0.695166241,0.387089196,0.161706677,-0.485605625,0.609361226,-0.452732007,,-0.00057884,2.494396064,-0.006353478
