Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,Subs,IV,V,VI,Crus-I,Crus-II,VIIb,VIIIa,VIIIb,IX,X,Vermis-VI,Vermis-VIIIa,Vermis-VIIIb,Vermis-IX,,gsr_dm,tsnr_dm,fd_mean_dm,,,,gsr_dm,tsnr_dm,fd_mean_dm
1003,-0.216059595,-0.560228239,-0.724358309,-0.486763241,-0.725982867,-0.137438187,-0.259020368,-0.343194293,-0.69000688,-1.140317486,-0.183162149,0.202557625,-1.000798118,0.41649988,,0.001005085,-21.85747706,0.108807092,,,-0.198404243,-0.801115218,-0.738228414,-0.684244969,0.003111723,0.039402022,-0.998758983,-0.598133238,-1.122763854,-1.935229149,0.350643518,0.246754492,-1.028728932,-0.013152519,,-0.000934238,-8.692210029,0.061729225,,,,,,
1004,-0.5806424,0.060260447,-0.147341384,0.14843991,0.820712203,0.942788484,0.474848428,-0.190298996,0.080639338,0.891059987,-0.112660728,1.093294281,0.887463163,0.865498758,,0.001439641,-5.907771152,0.027943355,,,-0.562987048,-0.180626533,-0.161211489,-0.049041818,1.549806794,1.119628694,-0.264890187,-0.44523794,-0.352117636,0.096148324,0.421144939,1.137491148,0.859532349,0.435846358,,-0.000499683,7.25749588,-0.019134513,,,,,,
1006,-0.050023324,-0.485671611,-0.265221593,0.469639567,0.428698782,0.193589517,0.249733442,0.412447556,0.961073063,1.195326126,0.411896361,-0.062977048,-0.482052394,0.299434321,,0.001095153,-45.02257828,0.102316487,,,-0.032367972,-0.726558591,-0.279091698,0.272157839,1.157793373,0.370429727,-0.490005174,0.157508612,0.528316089,0.400414463,0.945702028,-0.018780181,-0.509983207,-0.130218078,,-0.00084417,-31.85731125,0.05523862,,,,,,
1009,-0.13633319,0.286764236,0.005865815,-0.605902487,-0.554438658,-0.094464097,-0.099912407,0.080735162,-0.485685398,0.462425633,-0.386045772,-1.122419574,-1.28834631,-0.80788765,,0.006064844,-9.228755039,0.003232004,,,-0.118677838,0.045877257,-0.00800429,-0.803384215,0.174655933,0.082376113,-0.839651022,-0.174203783,-0.918442371,-0.33248603,0.147759894,-1.078222707,-1.316277124,-1.237540049,,0.004125521,3.936511993,-0.043845864,,,,,,
1010,-0.824916939,-0.570490967,-0.594047541,-0.146856556,0.030000868,0.095891772,0.367407192,0.517766163,-0.551385384,0.591895903,-0.174478505,-1.061825198,-0.401756825,-0.532879777,,-0.00443957,-34.3930922,0.312371662,,,-0.807261587,-0.811377946,-0.607917646,-0.344338284,0.759095458,0.272731981,-0.372331424,0.262827219,-0.984142358,-0.20301576,0.359327162,-1.017628331,-0.429687639,-0.962532176,,-0.006378893,-21.22782516,0.265293794,,,,,,
1011,0.318040201,0.167213101,0.276928049,-0.751017478,-0.466893156,0.024180034,0.651117883,-0.065323717,-0.060093937,1.475613704,0.045844843,0.24436859,0.913216859,1.839730775,,0.003378992,-24.42317871,0.125952009,,,0.335695553,-0.073673879,0.263057944,-0.948499206,0.262201435,0.201020244,-0.088620732,-0.320262662,-0.492850911,0.680702041,0.57965051,0.288565457,0.885286045,1.410078376,,0.001439669,-11.25791168,0.078874142,,,,,,
1012,1.297595244,1.114215653,1.56097803,1.865765487,1.893195023,0.861969682,0.772383267,-0.054064546,1.033605217,1.592458215,-1.065716329,1.784878929,0.732832384,2.271353976,,0.000713093,-9.424716037,0.028612723,,,1.315250596,0.873328674,1.547107925,1.668283759,2.622289613,1.038809892,0.032644652,-0.309003491,0.600848243,0.797546552,-0.531910662,1.829075796,0.704901571,1.841701577,,-0.001226231,3.740550995,-0.018465144,,,,,,
1013,0.147031196,-0.079459502,0.928769995,1.029120028,0.990277384,0.64495393,0.140668337,-0.342307592,0.466158703,1.330599792,0.329741249,0.344872364,-0.29796235,-0.78221044,,0.000292746,0.04615112,0.013869015,,,0.164686548,-0.320346481,0.91489989,0.8316383,1.719371974,0.821794139,-0.599070278,-0.597246537,0.033401729,0.535688129,0.863546915,0.389069231,-0.325893164,-1.211862839,,-0.001646577,13.21141815,-0.033208852,,,,,,
1015,-0.451805823,-0.462972526,0.387302729,0.213355754,0.198999095,-0.375647792,0.237845831,-0.547672045,-0.418130638,0.070394068,0.837552187,0.349713187,0.116615443,-0.148487724,,-0.001229468,-4.217883152,-0.017861529,,,-0.434150471,-0.703859506,0.373432624,0.015874026,0.928093686,-0.198807582,-0.501892784,-0.802610989,-0.850887612,-0.724517595,1.371357854,0.393910054,0.08868463,-0.578140123,,-0.003168791,8.947383881,-0.064939397,,,,,,
1016,-0.211199302,0.395547975,0.021056848,-0.246906887,-0.075183374,-0.061199314,0.102748435,-0.164371374,0.619360775,-0.556051147,-0.288356175,0.36923879,0.634630419,0.85110089,,-0.000237289,-10.23606018,0.018325425,,,-0.19354395,0.154660996,0.007186743,-0.444388615,0.653911217,0.115640896,-0.63699018,-0.419310319,0.186603801,-1.35096281,0.245449491,0.413435657,0.606699605,0.42144849,,-0.002176612,2.929206848,-0.028752443,,,,,,
