INPUT : doors/left/doors-left_output_dat_tstat_fwep_c3.csv
0.9773
0.9370
0.6935
0.6514
0.3794
0.9734
0.9720
0.7944
0.5893
0.8641
0.7385
0.5216
0.2083
0.6390
INPUT : doors/left/doors-left_output_dat_tstat_fwep_c4.csv
0.8340
0.9268
0.9920
0.9939
0.9981
0.8529
0.8574
0.9849
0.9956
0.9722
0.9908
0.9970
0.9997
0.9942
INPUT : doors/right/doors-right_output_dat_tstat_fwep_c3.csv
0.9993
0.9613
0.9872
0.9435
0.9394
0.9569
0.9998
0.9967
0.9029
0.9757
0.7441
0.9895
0.9844
0.8284
INPUT : doors/right/doors-right_output_dat_tstat_fwep_c4.csv
0.3574
0.8754
0.7580
0.9108
0.9176
0.8870
0.2473
0.5637
0.9506
0.8266
0.9880
0.7236
0.7783
0.9762
INPUT : mid/left/mid-left_output_dat_tstat_fwep_c3.csv
0.8592
0.8969
0.8932
0.7430
0.9262
0.8721
0.9472
0.9006
0.6230
0.6249
0.6821
0.9819
0.9849
0.9684
INPUT : mid/left/mid-left_output_dat_tstat_fwep_c4.csv
0.9874
0.9795
0.9806
0.9964
0.9672
0.9853
0.9498
0.9783
0.9986
0.9986
0.9981
0.8879
0.8742
0.9270
INPUT : mid/right/mid-right_output_dat_tstat_fwep_c3.csv
0.7974
0.6731
0.3352
0.5084
0.9224
0.8411
0.3562
0.4400
0.9830
0.3661
0.9702
0.9179
0.9671
0.9179
INPUT : mid/right/mid-right_output_dat_tstat_fwep_c4.csv
0.9900
0.9965
0.9997
0.9991
0.9501
0.9828
0.9997
0.9997
0.8381
0.9997
0.8829
0.9528
0.8900
0.9528
INPUT : sr/left/sr-left_output_dat_tstat_fwep_c3.csv
0.8847
0.2726
0.3170
0.5130
0.4883
0.3765
0.7485
0.5384
0.9094
0.5858
0.1476
0.5134
0.9654
0.8277
INPUT : sr/left/sr-left_output_dat_tstat_fwep_c4.csv
0.9581
0.9999
0.9999
0.9982
0.9985
0.9998
0.9866
0.9979
0.9437
0.9968
1.0000
0.9982
0.8691
0.9753
INPUT : sr/right/sr-right_output_dat_tstat_fwep_c3.csv
0.3952
0.1204
0.1314
0.1266
0.1174
0.0218
0.0008
0.0084
0.2485
0.2332
0.1888
0.2004
0.7102
0.2651
INPUT : sr/right/sr-right_output_dat_tstat_fwep_c4.csv
0.9994
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
0.9999
1.0000
1.0000
1.0000
0.9933
0.9998
INPUT : social/left/social-left_output_dat_tstat_fwep_c3.csv
0.8434
0.9774
0.9792
0.7785
0.3504
0.9703
0.9860
0.9587
0.9888
0.9755
0.9662
0.9028
0.9937
0.6726
INPUT : social/left/social-left_output_dat_tstat_fwep_c4.csv
0.9817
0.8590
0.8529
0.9900
0.9999
0.8857
0.8168
0.9119
0.7888
0.8684
0.8988
0.9620
0.7257
0.9955
INPUT : social/right/social-right_output_dat_tstat_fwep_c3.csv
0.9926
1.0000
0.9981
0.8605
0.9581
0.8388
1.0000
0.9768
0.9956
0.8931
0.9877
0.9143
0.9999
1.0000
INPUT : social/right/social-right_output_dat_tstat_fwep_c4.csv
0.7583
0.4604
0.5922
0.9812
0.9175
0.9861
0.4325
0.8697
0.6791
0.9713
0.8161
0.9602
0.4810
0.2342
INPUT : ugdg/left/ugdg-left_output_dat_tstat_fwep_c3.csv
1.0000
1.0000
0.9936
0.9331
1.0000
0.9938
1.0000
1.0000
1.0000
0.7990
1.0000
0.9999
0.9947
0.9990
INPUT : ugdg/left/ugdg-left_output_dat_tstat_fwep_c4.csv
0.1481
0.3094
0.9207
0.9920
0.6085
0.9163
0.4259
0.4439
0.5353
0.9991
0.5714
0.6582
0.9077
0.8250
INPUT : ugdg/right/ugdg-right_output_dat_tstat_fwep_c3.csv
1.0000
0.7818
0.8489
0.7302
0.9655
0.9445
0.6386
0.9302
0.9982
0.5495
0.8717
0.9906
0.9987
0.9983
INPUT : ugdg/right/ugdg-right_output_dat_tstat_fwep_c4.csv
0.4882
0.9982
0.9958
0.9989
0.9667
0.9791
0.9995
0.9841
0.8285
0.9996
0.9935
0.9168
0.7834
0.8063
