LEFT HEMISPHERE,,,,,,,,,,,,,,,,,,
,IV, V, VI, Crus_I, Crus_II, VIIb, VIIIa, VIIIb, IX, X, Vermis_VI, Vermis_VIIIa, Vermis_VIIIb, Vermis_IX,,,,
_dat_tstat_c1.csv,-1.0362,-1.6944,-1.1115,-0.7696,-1.5343,-2.4613,-3.2861,-1.3832,-0.3094,-0.4063,0.0284,-1.7147,-1.9569,0.0219,,,,
_dat_tstat_uncp_c1.csv,0.8445,0.9504,0.8655,0.7764,0.937,0.9933,0.9992,0.9125,0.6203,0.6506,0.4837,0.9546,0.9727,0.4867,,,,
_dat_tstat_fwep_c1.csv,0.999,1,0.9993,0.9972,1,1,1,0.9999,0.9823,0.9869,0.9483,1,1,0.9492,,,,
_dat_tstat_cfwep_c1.csv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,IV, V, VI, Crus_I, Crus_II, VIIb, VIIIa, VIIIb, IX, X, Vermis_VI, Vermis_VIIIa, Vermis_VIIIb, Vermis_IX,,,,
_dat_tstat_c2.csv,1.0362,1.6944,1.1115,0.7696,1.5343,2.4613,3.2861,1.3832,0.3094,0.4063,-0.0284,1.7147,1.9569,-0.0219,,,,
_dat_tstat_uncp_c2.csv,0.1556,0.0497*,0.1346,0.2237,0.0631,0.0068**,0.0009***,0.0876,0.3798,0.3495,0.5164,0.0455*,0.0274*,0.5134,,,,
_dat_tstat_fwep_c2.csv,0.6101,0.2871,0.5734,0.7336,0.3608,0.0721,0.0087**,0.4352,0.8896,0.8595,0.9529,0.2797,0.1942,0.9514,,,,
_dat_tstat_cfwep_c2.csv,0.9499,0.5541,0.9239,0.9939,0.6729,0.1484,0.02*,0.7809,1,1,1,0.5403,0.3804,1,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RIGHT HEMISPHERE,,,,,,,,,,,,,,,,,,
,IV, V, VI, Crus_I, Crus_II, VIIb, VIIIa, VIIIb, IX, X, Vermis_VI, Vermis_VIIIa, Vermis_VIIIb, Vermis_IX,,,,
_dat_tstat_c1.csv,-0.9299,-1.211,-2.2457,-3.0241,-2.237,-3.3007,-3.9774,-3.4069,-3.2854,-1.8368,-0.8188,-2.5173,-1.1488,-1.3455,,,,
_dat_tstat_uncp_c1.csv,0.8136,0.8821,0.985,0.9984,0.9858,0.9996,0.9998,0.9993,0.999,0.9639,0.7839,0.9907,0.8683,0.9103,,,,
_dat_tstat_fwep_c1.csv,0.9984,0.9994,1,1,1,1,1,1,1,1,0.9976,1,0.9992,0.9995,,,,
_dat_tstat_cfwep_c1.csv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,IV, V, VI, Crus_I, Crus_II, VIIb, VIIIa, VIIIb, IX, X, Vermis_VI, Vermis_VIIIa, Vermis_VIIIb, Vermis_IX,,,,
_dat_tstat_c2.csv,0.9299,1.211,2.2457,3.0241,2.237,3.3007,3.9774,3.4069,3.2854,1.8368,0.8188,2.5173,1.1488,1.3455,,,,
_dat_tstat_uncp_c2.csv,0.1865,0.118,0.0151*,0.0017**,0.0143*,0.0005***,0.0003***,0.0008***,0.0011**,0.0362*,0.2162,0.0094**,0.1318,0.0898,,,,
_dat_tstat_fwep_c2.csv,0.6665,0.5291,0.118,0.0214*,0.1203,0.0107*,0.0015**,0.0077**,0.0109*,0.2403,0.7155,0.0661,0.5636,0.4644,,,,
_dat_tstat_cfwep_c2.csv,0.98,0.892,0.2284,0.0403*,0.2324,0.0194*,0.0025**,0.0143**,0.0199*,0.4681,0.9926,0.1321,0.9201,0.819,,,,
