Cluster Index	Z	x	y	z	
18	6.04	11.5	8.5	68.5
18	5.6	5.5	23.5	35.5
18	5.45	2.5	14.5	62.5
18	4.87	2.5	8.5	68.5
18	4.77	-6.5	26.5	23.5
18	4.76	-6.5	17.5	32.5
17	6.54	-9.5	-69.5	8.5
17	5.08	-9.5	-78.5	8.5
17	5.02	-15.5	-78.5	29.5
17	4.74	-18.5	-72.5	8.5
17	4.54	-12.5	-57.5	-3.5
17	4.47	-6.5	-87.5	11.5
16	5.58	50.5	-36.5	-0.5
16	5.18	47.5	-21.5	-6.5
16	5.11	50.5	-42.5	17.5
16	4.93	44.5	-42.5	17.5
16	4.52	59.5	-39.5	23.5
16	4.48	53.5	-39.5	29.5
15	5.68	-39.5	11.5	-3.5
15	4.52	-36.5	11.5	5.5
15	4.39	-39.5	23.5	-6.5
15	4.17	-45.5	5.5	8.5
15	4.05	-51.5	11.5	-0.5
15	3.97	-30.5	17.5	11.5
14	5.61	44.5	14.5	-3.5
14	4.88	53.5	20.5	-0.5
14	4.7	35.5	17.5	-12.5
14	4.56	44.5	26.5	-3.5
14	3.67	44.5	23.5	-15.5
14	3.31	47.5	2.5	-0.5
13	4.72	-3.5	-12.5	-0.5
13	4.47	-3.5	-3.5	-3.5
13	4.39	-12.5	-18.5	8.5
13	4.37	-3.5	-18.5	8.5
13	4.28	5.5	-18.5	-9.5
13	4.26	-9.5	-24.5	11.5
12	5.22	44.5	11.5	-39.5
12	4.61	50.5	11.5	-24.5
12	4.47	47.5	2.5	-33.5
12	4.31	41.5	2.5	-39.5
12	3.9	35.5	14.5	-39.5
11	5	29.5	53.5	32.5
11	4.15	11.5	59.5	29.5
11	3.54	11.5	53.5	41.5
10	4.9	-60.5	-54.5	32.5
10	4.15	-63.5	-48.5	32.5
10	3.84	-66.5	-42.5	23.5
10	3.7	-57.5	-48.5	23.5
10	3.57	-54.5	-39.5	35.5
10	3.38	-60.5	-39.5	32.5
9	4.19	-48.5	14.5	-21.5
9	4.15	-54.5	17.5	-24.5
9	4.1	-51.5	5.5	-24.5
9	3.99	-42.5	2.5	-39.5
9	3.81	-57.5	2.5	-30.5
8	4.64	5.5	-27.5	11.5
8	4.28	5.5	-18.5	8.5
8	4.16	14.5	-12.5	8.5
8	3.85	17.5	-18.5	14.5
8	3.59	20.5	-24.5	8.5
7	5.02	-33.5	-54.5	-30.5
7	4.04	-39.5	-57.5	-27.5
7	4.02	-48.5	-63.5	-27.5
7	3.66	-39.5	-66.5	-27.5
7	3.4	-42.5	-51.5	-33.5
6	4.31	-9.5	-57.5	-30.5
6	3.75	-0.5	-63.5	-30.5
6	3.72	5.5	-57.5	-30.5
5	4.97	14.5	-81.5	44.5
5	4.06	20.5	-75.5	41.5
5	3.73	20.5	-78.5	32.5
4	5.19	26.5	-54.5	5.5
4	4.98	20.5	-60.5	5.5
4	3.44	26.5	-69.5	8.5
3	5.06	-42.5	-6.5	-9.5
3	3.88	-42.5	-15.5	-0.5
2	4.52	29.5	20.5	8.5
2	3.88	41.5	11.5	8.5
2	3.79	35.5	8.5	8.5
1	4.08	-48.5	20.5	8.5
1	3.84	-54.5	20.5	-0.5
1	3.67	-60.5	14.5	8.5
